index_name,comment,book,page
Conceptual Design,Definition,1,13
Logical Design,Definition,1,13
Physical Design,Definition,1,13
Architecture / System,Listing of items,1,13
Communication Flow,Introduction and Understanding,1,13
Data,Knowing Where Valuable is,1,13
Conceptual Design,In Depth,1,14
Black Box Diagramming,Definition,1,14
Logical Design,In Depth,1,15
Physical Design,In Depth,1,16
Communication Flow,In Depth,1,17
Data – Know Where Valuable Is,In Depth,1,18
Networks – Under Attack,Attacks on Network rather than servers,1,20
Router,Definition,1,20
Switch,Definition,1,20
Threat Enumeration,List/ Definition/ Explanation,1,21
Threat Agents,List all / as pertains to threat enumeration,1,21
Attack Methods,As pertains to threat enumeration,1,21
System-Level Objectives,As pertains to threat enumeration,1,21
Objectives,System Level / As pertains to threat enumeration,1,21
Threat Agents,Definition / list of Agents / Attributes,1,22
Criminals – Cyber / Organized Crime,As pertains to threat agents,1,22
Cyber Criminals,As pertains to threat agents,1,22
Organized Crime,As pertains to threat agents,1,22
Crime – Cyber /Organized,As pertains to threat agents,1,22
Cyber Espionage,As pertains to threat agents,1,23
Espionage / Cyber,As pertains to threat agents,1,23
Activist – Computer or Hacktivist,As pertains to threat agents,1,23
Hacktivist,As pertains to threat agents,1,23
Router Attacks,Listing of Attacks,1,24
Denial of Service,As Router Attack,1,24
DOS,As Router Attack,1,24
Distributed Denial of Service,As Router Attack,1,24
Packet Sniffing,As Router Attack,1,24
Packet Miss-routing,As Router Attack,1,24
SYN Flood Attack,As Router Attack,1,24
TCP Reset Attack,As Router Attack,1,24
Reset Attack – TCP,As Router Attack,1,24
Flood Attack – SYN,As Router Attack,1,24
Routing Table Poisoning,As Router Attack,1,25
Poisoning – Routing Table,As Router Attack,1,25
Malicious Insider,As Router Attack,1,25
Disgruntled Employee,As Router Attack,1,25
Employee – Disgruntled,As Router Attack,1,25
Attack / Router,Listing of Attacks,1,24
Switch Attacks,Listing of Attacks,1,26
Attack / Switch,Listing of Attacks,1,26
CDP Manipulation,As Switch Attack,1,27
MAC Flooding,As Switch Attack,1,27
DHCP Spoofing,As Switch Attack,1,27
STP Attacks,As Switch Attack,1,27
VLAN Hopping,As Switch Attack,1,27
Telnet Attack,As Switch Attack,1,27
SYN Attack / Distributed,As Switch Attack,1,27
Distributed SYN Attack,As Switch Attack,1,27
Topologies ,Two Types / Definition,1,28
Physical Topology,Definition,1,28
Logical Topology,Definition,1,28
Star Topology,As Physical Topology,1,28
Topology / Physical,Definition,1,28
Topology / Logical,Definition,1,28
Ethernet,Definition and Explanation,1,29
Frame,As part of Ethernet,1,29
CSMA/CD,Protocol / Definition,1,29
Carrier Sense Multiple Access Collision Detection,Protocol / Definition,1,29
Network Design Approaches,Listing and Description,1,31
Segmentation,As Network Design,1,31
Protected Enclave,As Network Design,1,31
Enclave / Protected,As Network Design,1,31
Software Defined Networking (SDN),As Network Design,1,31
SDN / Software Defined Networking,As Network Design,1,31
Micro-Segmentation,As Network Design and Part of SDN,1,31
Network Segment,As Network Design and Part of Segmentation,1,31
Least Privilege Rule,As Network Design and Part of Segmentation,1,31
Whitelisting,As Network Design and Part of Segmentation,1,31
Network Architecture Design,Data Flow Analysis and Prioritization,1,33
Architecture / Network Design,Data Flow Analysis and Prioritization,1,33
Net Flow,Definition / How used in Network Architecture Design,1,33
Data Flow,Definition / How used in Network Architecture Design,1,33
Flow / Net and Data,Definition / How used in Network Architecture Design,1,33
Network Design Objectives,Listing of Objectives / Examples,1,34
Defense in Depth,Definition/ As part of Design Objectives,1,34
Network Sections,Listing of Sections,1,35
Public,As Network Section,1,35
